"id","source","profileId","sessionId","heuristic","dataProcessingConsent","attentionCheckFailures","dataUsableForResearch","createdAt"
"4aca20b2-85d3-494b-ab33-9c8aac184b30","PROLIFIC","59a1ddac5dfd6b000152601f","63a2805ea0715792d785240c","POLITICAL",True,0,True,"2022-12-21 03:41:26.813"
"acb2e609-9395-4678-9f52-5ba161d1423f","PROLIFIC","5cef6401cd01760016535b53","63a280398ef61ed29f61af51","TRUST",True,0,True,"2022-12-21 03:40:44.778"
"8618e8a9-d75d-4a37-beae-65b2003193a7","PROLIFIC","603039c84bcf02e81ae8a052","63a280798f82db4669484293","BIAS_BAR",True,0,True,"2022-12-21 03:42:02.782"
"b3bcf1df-b157-40c5-b9d9-703d64487ef4","PROLIFIC","6077cb38de8f5c783d413450","63a280e8f994a281c7438eed","TRUST",True,0,True,"2022-12-21 03:44:09.571"
"50fc0cc6-c9b0-489e-b925-aecf6143bd11","PROLIFIC","5678ea0289319e00116519c3","63a2817cd14c8c5d18438f35","BIAS_BAR",True,0,True,"2022-12-21 03:46:07.559"
"340b2a87-ce48-4c95-af52-130c31d09996","PROLIFIC","578b5756160201000103fe40","63a281bd956920e304d9c2f2","BIAS_GAUGE",True,0,True,"2022-12-21 03:47:11.09"
"927266fc-695c-43a7-83af-db89afc7f743","PROLIFIC","628f9cfbee6de7cc7322fecf","63a28125cd2aa58079ac1e22","BIAS_GAUGE",True,0,True,"2022-12-21 03:44:39.535"
"ce75f664-ea05-40e5-8928-2f4ba507badc","PROLIFIC","637e648f2e6e25a53c4d4cbd","63a28226cbbaf34cd2b598a8","TRUST",True,0,True,"2022-12-21 03:48:59.935"
"21844761-9368-4247-875f-1c65e4cb4fbb","PROLIFIC","5c40e7d99d27f00001159a65","63a28128fd6117bacaf0a90b","BIAS_HIGH",True,0,True,"2022-12-21 03:44:43.59"
"68588d44-6579-4519-9d57-288fe112e0f7","PROLIFIC","5d5b67ab9ad5a300181398dc","63a2814eb0557e57a5e593be","POLITICAL",True,0,True,"2022-12-21 03:45:26.08"
"f7f5a7b8-ea55-4d33-a542-ca8853cb46d8","PROLIFIC","5e1ded90e47974143a8d81da","63a280c88c1b3cb653eebe06","SENTIMENT",True,0,True,"2022-12-21 03:43:18.866"
"edde4fae-6f6c-4362-9d0d-f2851ba538b6","PROLIFIC","6310ceffa120ca2c1fbe1d92","63a281f3f07e0400cb604070","BIAS_GAUGE",True,0,True,"2022-12-21 03:48:18.036"
